,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
34,Perfect Velvet - The 2nd Album,2017-11-17,7,3OK4va42j6de25ZPNdI5kC,Perfect 10,spotify:track:3OK4va42j6de25ZPNdI5kC,0.56,0.709,0.572,0.0,0.331,-5.878,0.0514,121.9,0.564,44,red velvet
35,Perfect Velvet - The 2nd Album,2017-11-17,8,2aSoUIBolhj734OqGn5ave,About Love,spotify:track:2aSoUIBolhj734OqGn5ave,0.162,0.611,0.82,0.0,0.17,-3.838,0.204,191.908,0.78,44,red velvet
36,Perfect Velvet - The 2nd Album,2017-11-17,9,1WryFxHMRpm6SOl58n8BYz,달빛 소리 Moonlight Melody,spotify:track:1WryFxHMRpm6SOl58n8BYz,0.654,0.634,0.482,0.0,0.091,-5.813,0.0269,123.983,0.32,44,red velvet
37,The Velvet - The 2nd Mini Album,2016-03-17,1,6koMMQlsRWBwHZXdtWxgUk,7월 7일 One Of These Nights,spotify:track:6koMMQlsRWBwHZXdtWxgUk,0.475,0.436,0.509,0.0,0.101,-5.161,0.0345,133.653,0.11,54,red velvet
38,The Velvet - The 2nd Mini Album,2016-03-17,2,6kR8TFJ4BowMMBW2tokFWr,Cool Hot Sweet Love,spotify:track:6kR8TFJ4BowMMBW2tokFWr,0.207,0.664,0.719,0.0,0.199,-4.436,0.0475,153.039,0.824,46,red velvet
39,The Velvet - The 2nd Mini Album,2016-03-17,3,7BzhMJxmNDtibkjZUBnNZo,Light Me Up,spotify:track:7BzhMJxmNDtibkjZUBnNZo,0.597,0.612,0.908,0.0,0.159,-3.699,0.094,120.013,0.688,44,red velvet
40,The Velvet - The 2nd Mini Album,2016-03-17,4,4BeYVQC4uQGwEnLOeOo2ch,처음인가요 First Time,spotify:track:4BeYVQC4uQGwEnLOeOo2ch,0.504,0.53,0.536,0.0,0.112,-5.145,0.0302,129.878,0.312,42,red velvet
41,The Velvet - The 2nd Mini Album,2016-03-17,5,0hVojZWwk9up4n1Az3nAyY,장미꽃 향기는 바람에 날리고 Rose Scent Breeze,spotify:track:0hVojZWwk9up4n1Az3nAyY,0.878,0.41,0.333,0.0,0.152,-7.09,0.0336,127.791,0.208,38,red velvet
42,The Velvet - The 2nd Mini Album,2016-03-17,6,4ANkWZ3HxsS4Qu0O8UqetR,7월 7일 One Of These Nights - De-Capo Version,spotify:track:4ANkWZ3HxsS4Qu0O8UqetR,0.489,0.577,0.498,0.0,0.116,-5.778,0.0333,133.606,0.178,31,red velvet
43,The Velvet - The 2nd Mini Album,2016-03-17,7,5Cy8dlf1hwqltXLGwIFepX,7월 7일 One Of These Nights - Joe Millionaire Version,spotify:track:5Cy8dlf1hwqltXLGwIFepX,0.271,0.566,0.616,0.0,0.102,-5.084,0.0336,133.736,0.0813,30,red velvet
44,The Velvet - The 2nd Mini Album,2016-03-17,8,4dDfCz3oahKnPnAVttwYfJ,7월 7일 One Of These Nights - Piano Version,spotify:track:4dDfCz3oahKnPnAVttwYfJ,0.819,0.582,0.318,0.0,0.135,-7.041,0.0366,133.73,0.139,41,red velvet
45,The Red - The 1st Album,2015-09-09,1,64iDjAuWDogVhuoWhKklF9,Dumb Dumb,spotify:track:64iDjAuWDogVhuoWhKklF9,0.0334,0.778,0.789,2.05e-06,0.225,-4.297,0.0503,145.99,0.799,63,red velvet
46,The Red - The 1st Album,2015-09-09,2,1LNFbKyhjwOk7eeBUVqvo3,Huff n Puff,spotify:track:1LNFbKyhjwOk7eeBUVqvo3,0.0281,0.744,0.892,0.0,0.0563,-2.5,0.0806,103.988,0.812,44,red velvet
47,The Red - The 1st Album,2015-09-09,3,7zevDPGnHofmT4sXeKW7QH,Campfire,spotify:track:7zevDPGnHofmT4sXeKW7QH,0.0315,0.714,0.721,0.0,0.108,-4.024,0.104,89.991,0.455,42,red velvet
48,The Red - The 1st Album,2015-09-09,4,0ItGyAARjZ8tYxRjcDmgkt,Red Dress,spotify:track:0ItGyAARjZ8tYxRjcDmgkt,0.00788,0.763,0.856,1.43e-05,0.329,-4.161,0.0419,120.001,0.615,45,red velvet
49,The Red - The 1st Album,2015-09-09,5,3ts0OSZgdjOP0Uu1DvQK4h,Oh Boy,spotify:track:3ts0OSZgdjOP0Uu1DvQK4h,0.0176,0.701,0.766,0.0,0.228,-4.542,0.0472,93.99,0.366,48,red velvet
50,The Red - The 1st Album,2015-09-09,6,6f48SDPW5xu6gUsfLaHOZi,Lady's Room,spotify:track:6f48SDPW5xu6gUsfLaHOZi,0.565,0.742,0.738,0.0,0.305,-4.835,0.0379,107.024,0.851,42,red velvet
51,The Red - The 1st Album,2015-09-09,7,7q2qLI13TejYkBr4A5ZhEJ,Time Slip,spotify:track:7q2qLI13TejYkBr4A5ZhEJ,0.0422,0.897,0.58,3.11e-06,0.0578,-4.996,0.0503,99.982,0.59,44,red velvet
52,The Red - The 1st Album,2015-09-09,8,6RKpcgjYeiC5crivVGNNrZ,Don't U Wait No More,spotify:track:6RKpcgjYeiC5crivVGNNrZ,0.222,0.595,0.838,0.0,0.0731,-2.273,0.235,98.946,0.749,42,red velvet
53,The Red - The 1st Album,2015-09-09,9,74muMkVdMYoR65lhmdzy13,Day 1,spotify:track:74muMkVdMYoR65lhmdzy13,0.112,0.645,0.884,0.0,0.179,-2.801,0.0968,171.93,0.708,45,red velvet
54,The Red - The 1st Album,2015-09-09,10,1VfZX787b6l88hpvOXcSXp,Cool World,spotify:track:1VfZX787b6l88hpvOXcSXp,0.0876,0.747,0.941,0.0,0.0438,-2.867,0.133,115.002,0.525,43,red velvet
55,‘The ReVe Festival’ Day 2,2019-08-20,1,5qSoW3ewNlhRN3FNZPmVns,Umpah Umpah,spotify:track:5qSoW3ewNlhRN3FNZPmVns,0.0258,0.693,0.935,0.0,0.437,-3.306,0.0771,119.973,0.844,57,red velvet
58,‘The ReVe Festival’ Day 2,2019-08-20,4,5ots8XAjbFfFm3yrqftWOF,Jumpin’,spotify:track:5ots8XAjbFfFm3yrqftWOF,0.0106,0.731,0.839,0.0,0.316,-3.981,0.193,148.996,0.811,41,red velvet
61,Hotel Del Luna OST Part.8,2019-08-10,1,3Q3ln48NxbTeTjvHQbF3cM,See the stars,spotify:track:3Q3ln48NxbTeTjvHQbF3cM,0.589,0.648,0.653,0.0,0.279,-3.797,0.0641,179.897,0.815,55,red velvet
62,Hotel Del Luna OST Part.8,2019-08-10,2,5dyv39VrJnYG6L78HcMDLW,See the stars - Instrumental,spotify:track:5dyv39VrJnYG6L78HcMDLW,0.169,0.76,0.359,0.0312,0.1,-7.321,0.0943,179.968,0.462,27,red velvet
63,‘The ReVe Festival’ Day 1,2019-06-19,1,0GUbhhI5fRx7BlqlqlhjuB,Zimzalabim,spotify:track:0GUbhhI5fRx7BlqlqlhjuB,0.0028,0.68,0.878,2.22e-05,0.336,-4.791,0.179,127.991,0.531,63,red velvet
76,SAPPY,2019-05-29,2,7il3ehwwEeRyjQgKPtFADx,Swimming Pool,spotify:track:7il3ehwwEeRyjQgKPtFADx,0.221,0.609,0.934,0.0,0.309,-0.984,0.0876,159.95,0.906,41,red velvet
78,SAPPY,2019-05-29,4,79Amt6pZmMvaH4ga2vQig1,Peek-A-Boo - Japanese Version,spotify:track:79Amt6pZmMvaH4ga2vQig1,0.226,0.589,0.926,0.000526,0.281,-2.5,0.132,114.378,0.586,38,red velvet
79,SAPPY,2019-05-29,5,0ty74hO3bJPTbGTiXPxRxm,Rookie - Japanese Version,spotify:track:0ty74hO3bJPTbGTiXPxRxm,0.196,0.659,0.961,0.0,0.336,-2.507,0.282,164.0,0.889,31,red velvet
80,SAPPY,2019-05-29,6,5k8d3sTyWPm8XRtnMl0wGx,Power Up - Japanese Version,spotify:track:5k8d3sTyWPm8XRtnMl0wGx,0.0495,0.735,0.936,0.00239,0.133,-4.51,0.135,160.054,0.92,30,red velvet
81,Power Up (Japanese Ver.),2019-05-29,1,5xiBz8LXrrKzKmJEtT0xM5,Power Up - Japanese Ver.,spotify:track:5xiBz8LXrrKzKmJEtT0xM5,0.0674,0.737,0.932,0.00333,0.252,-4.537,0.137,160.065,0.907,29,red velvet
83,Close To Me (Red Velvet Remix),2019-04-05,1,696Y3Jx3k4Rjsw8gm2q4l4,Close To Me - Red Velvet Remix,spotify:track:696Y3Jx3k4Rjsw8gm2q4l4,0.233,0.593,0.686,0.0,0.36,-6.58,0.0411,143.986,0.453,56,red velvet
85,Sayonara,2019-02-20,1,3D0qt4fQGE3Pq52MxFjXak,Sayonara,spotify:track:3D0qt4fQGE3Pq52MxFjXak,0.468,0.498,0.755,2.67e-06,0.267,-4.551,0.052,120.064,0.556,40,red velvet
87,SAPPY,2019-01-06,1,0yADs5FhpGm6KyTpCpsRYj,SAPPY,spotify:track:0yADs5FhpGm6KyTpCpsRYj,0.0512,0.746,0.93,1.28e-06,0.0957,-2.027,0.147,106.031,0.466,47,red velvet
