,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
39,BDZ,2018-09-12,9,Be as ONE,0.465,0.613,0.5579999999999999,0.0,0.0975,-4.185,0.0361,142.003,0.358,50,twice
40,BDZ,2018-09-12,10,I WANT YOU BACK,0.0148,0.713,0.848,0.0,0.0808,-1.94,0.0338,106.09299999999999,0.787,55,twice
41,Summer Nights,2018-07-09,1,Dance The Night Away,0.106,0.711,0.861,4.4e-05,0.113,-2.905,0.0924,118.00399999999999,0.78,70,twice
42,Summer Nights,2018-07-09,2,CHILLAX,0.134,0.7859999999999999,0.8320000000000001,1.35e-06,0.0575,-2.783,0.0593,108.975,0.741,52,twice
43,Summer Nights,2018-07-09,3,Shot Thru The Heart,0.0775,0.67,0.846,0.0,0.617,-2.634,0.0429,142.965,0.24,45,twice
44,Summer Nights,2018-07-09,4,What is Love,0.0988,0.574,0.909,0.0,0.264,-1.5719999999999998,0.0655,169.96400000000003,0.565,72,twice
45,Summer Nights,2018-07-09,5,SWEET TALKER,0.0695,0.674,0.97,2.19e-06,0.153,-2.281,0.0649,159.998,0.797,50,twice
46,Summer Nights,2018-07-09,6,HO!,0.10400000000000001,0.7659999999999999,0.895,1.43e-06,0.0233,-2.342,0.0982,160.009,0.9740000000000001,46,twice
47,Summer Nights,2018-07-09,7,DEJAVU,0.0127,0.636,0.794,1.3e-06,0.0895,-4.072,0.0651,116.77600000000001,0.51,43,twice
48,Summer Nights,2018-07-09,8,SAY YES,0.23800000000000002,0.634,0.6729999999999999,0.0,0.226,-3.989,0.0785,80.009,0.36700000000000005,47,twice
49,Summer Nights,2018-07-09,9,STUCK,0.0544,0.564,0.7959999999999999,0.0,0.142,-2.71,0.0536,157.903,0.5710000000000001,47,twice
50,Summer Nights,2018-07-09,3,Shot thru the heart,0.0747,0.6709999999999999,0.852,0.0,0.524,-2.6189999999999998,0.0439,142.981,0.245,31,twice
51,Summer Nights,2018-07-09,4,What is Love?,0.0846,0.573,0.91,0.0,0.266,-1.578,0.064,169.982,0.602,59,twice
52,Merry & Happy,2017-12-11,1,Heart Shaker,0.105,0.565,0.943,0.0,0.154,-0.532,0.0645,164.05900000000003,0.855,65,twice
