,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
20,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,8,1V1abC9Qa3zuaLxsKGtBQ4,Damage - Live,spotify:track:1V1abC9Qa3zuaLxsKGtBQ4,0.101,0.518,0.901,0.0,0.321,-3.17,0.183,160.002,0.293,35,exo
21,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,9,1Qxi4HH5JwSPZJRLrHDG4o,Growl - Live,spotify:track:1Qxi4HH5JwSPZJRLrHDG4o,0.245,0.566,0.941,0.0,0.916,-2.102,0.0887,89.954,0.737,37,exo
22,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,10,4Fomm4R4WvHTlc4rUOnHQD,Overdose - Live,spotify:track:4Fomm4R4WvHTlc4rUOnHQD,0.134,0.557,0.974,0.0,0.951,-1.612,0.163,81.957,0.45,37,exo
23,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,11,4hJBzDv9U587Aupgrk447u,Call Me Baby - Live,spotify:track:4hJBzDv9U587Aupgrk447u,0.112,0.602,0.952,0.0,0.549,-2.436,0.115,99.842,0.591,38,exo
24,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,12,4UL88jLVSth9ZqKNZGi0BE,Unfair - Live,spotify:track:4UL88jLVSth9ZqKNZGi0BE,0.521,0.59,0.92,0.0,0.785,-2.239,0.0565,98.033,0.546,36,exo
25,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,13,76Qp9zoK0neJULHlL53WVZ,On The Snow - Live,spotify:track:76Qp9zoK0neJULHlL53WVZ,0.553,0.519,0.857,0.0,0.705,-3.225,0.0655,84.952,0.45,34,exo
26,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,14,4wTnhr4Gvhmb6bJ6iL5lgU,Smile On My Face - Live,spotify:track:4wTnhr4Gvhmb6bJ6iL5lgU,0.476,0.679,0.799,1.9e-06,0.518,-5.209,0.0609,135.07,0.628,36,exo
27,OBSESSION - The 6th Album,2019-11-27,1,7fK0csBoqbcgUuWGV0cpoD,Obsession,spotify:track:7fK0csBoqbcgUuWGV0cpoD,0.0024,0.704,0.729,0.0,0.218,-3.851,0.0624,129.992,0.71,71,exo
28,OBSESSION - The 6th Album,2019-11-27,2,5vZU1sYp7e1osTKWIMtof5,Trouble,spotify:track:5vZU1sYp7e1osTKWIMtof5,0.321,0.572,0.8,0.0,0.511,-4.421,0.137,76.022,0.767,55,exo
29,OBSESSION - The 6th Album,2019-11-27,3,028XrbNPgtmnSSScHuWuG1,Jekyll,spotify:track:028XrbNPgtmnSSScHuWuG1,0.438,0.721,0.57,0.0,0.0975,-3.759,0.0567,99.988,0.472,55,exo
