,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
81,"The year of ""YES""",2018-12-12,1,6kkdPUBJurHTLjaweUWeqz,The Best Thing I Ever Did,spotify:track:6kkdPUBJurHTLjaweUWeqz,0.383,0.72,0.655,0.0,0.156,-3.994,0.0248,104.977,0.468,54,twice
91,"The year of ""YES""",2018-12-12,2,2uu3Ht16QmqmXaLvVfU22V,Be as ONE - Korean Ver.,spotify:track:2uu3Ht16QmqmXaLvVfU22V,0.572,0.671,0.593,0.0,0.0901,-4.741,0.0376,142.045,0.353,34,twice
105,YES or YES,2018-11-05,7,3faO4pLbvIOi8zMofuR0j4,BDZ - Korean Ver.,spotify:track:3faO4pLbvIOi8zMofuR0j4,0.0154,0.722,0.866,0.0,0.11,-2.711,0.052,137.946,0.659,34,twice
106,YES or YES,2018-11-05,1,0Ll92eLIHWY5gey1ISNMPi,YES or YES,spotify:track:0Ll92eLIHWY5gey1ISNMPi,0.0514,0.702,0.913,3.71e-06,0.166,-2.977,0.0374,137.982,0.735,71,twice
107,YES or YES,2018-11-05,2,3g3hvoSSVxuNE1Io871SCd,SAY YOU LOVE ME,spotify:track:3g3hvoSSVxuNE1Io871SCd,0.304,0.792,0.89,1.64e-06,0.0685,-2.125,0.0705,134.995,0.914,50,twice
108,YES or YES,2018-11-05,3,5I2nWbGzcUFdjEOT90tS5J,LALALA,spotify:track:5I2nWbGzcUFdjEOT90tS5J,0.296,0.693,0.872,0.0,0.196,-2.675,0.0724,156.985,0.833,50,twice
109,YES or YES,2018-11-05,4,5kqhPGqTVO6XteDje04z7s,YOUNG & WILD,spotify:track:5kqhPGqTVO6XteDje04z7s,0.119,0.804,0.621,0.0,0.31,-4.864,0.106,104.908,0.306,48,twice
110,YES or YES,2018-11-05,5,3czpbe7t5mxqEh7BZ3FsBK,SUNSET,spotify:track:3czpbe7t5mxqEh7BZ3FsBK,0.326,0.524,0.91,0.0,0.573,-3.845,0.152,170.057,0.772,46,twice
111,YES or YES,2018-11-05,6,7KqcgT7hLCdkdKaIUTgfH1,AFTER MOON,spotify:track:7KqcgT7hLCdkdKaIUTgfH1,0.575,0.421,0.664,0.0,0.123,-3.901,0.0678,193.874,0.461,47,twice
113,BDZ,2018-09-12,1,6ceKChoZYLdw24Ph1CDFUJ,BDZ,spotify:track:6ceKChoZYLdw24Ph1CDFUJ,0.0113,0.715,0.862,0.0,0.108,-2.718,0.0444,137.93,0.668,62,twice
114,BDZ,2018-09-12,2,4DmS8lnz6VbEMWrUcbm8WZ,One More Time,spotify:track:4DmS8lnz6VbEMWrUcbm8WZ,0.00288,0.74,0.928,0.0,0.319,-4.139,0.0633,129.955,0.671,55,twice
116,BDZ,2018-09-12,4,67adxp0HtY8yqMz53RYopP,L.O.V.E,spotify:track:67adxp0HtY8yqMz53RYopP,0.053,0.806,0.858,0.0,0.109,-2.657,0.0715,125.005,0.871,43,twice
117,BDZ,2018-09-12,5,4N1xwTGXlI6hiXlr9A6iKs,Wishing,spotify:track:4N1xwTGXlI6hiXlr9A6iKs,0.16,0.516,0.719,0.0,0.0541,-3.27,0.0458,205.786,0.433,46,twice
118,BDZ,2018-09-12,6,3gwojMWTEtzx7AWAzROwNt,Say it again,spotify:track:3gwojMWTEtzx7AWAzROwNt,0.279,0.751,0.838,0.0,0.0673,-2.794,0.137,129.985,0.579,42,twice
119,BDZ,2018-09-12,7,0CvJiFydKzLSQUn6McFPrb,Wake Me Up,spotify:track:0CvJiFydKzLSQUn6McFPrb,0.209,0.656,0.994,0.0,0.318,-1.47,0.0807,125.979,0.795,54,twice
120,BDZ,2018-09-12,8,1cHjzdNUuVapNB55XykwDC,BRAND NEW GIRL,spotify:track:1cHjzdNUuVapNB55XykwDC,0.016,0.674,0.965,9.59e-05,0.145,-3.754,0.0696,157.041,0.75,51,twice
121,BDZ,2018-09-12,9,4Jld19gM5PK84mfXOGpV9C,Be as ONE,spotify:track:4Jld19gM5PK84mfXOGpV9C,0.465,0.613,0.558,0.0,0.0975,-4.185,0.0361,142.003,0.358,50,twice
122,BDZ,2018-09-12,10,54w5JUSWCJu64pnw8alImP,I WANT YOU BACK,spotify:track:54w5JUSWCJu64pnw8alImP,0.0148,0.713,0.848,0.0,0.0808,-1.94,0.0338,106.093,0.787,55,twice
123,Summer Nights,2018-07-09,1,3t723PlEADna6GjgquoMRW,Dance The Night Away,spotify:track:3t723PlEADna6GjgquoMRW,0.106,0.711,0.861,4.4e-05,0.113,-2.905,0.0924,118.004,0.78,70,twice
124,Summer Nights,2018-07-09,2,1n3ZcESTCA7MIiFtkXD9lO,CHILLAX,spotify:track:1n3ZcESTCA7MIiFtkXD9lO,0.134,0.786,0.832,1.35e-06,0.0575,-2.783,0.0593,108.975,0.741,52,twice
125,Summer Nights,2018-07-09,3,5OILZndJWQa66REoWJqeI9,Shot Thru The Heart,spotify:track:5OILZndJWQa66REoWJqeI9,0.0775,0.67,0.846,0.0,0.617,-2.634,0.0429,142.965,0.24,45,twice
126,Summer Nights,2018-07-09,4,1IX47gefluXmKX4PrTBCRM,What is Love,spotify:track:1IX47gefluXmKX4PrTBCRM,0.0988,0.574,0.909,0.0,0.264,-1.572,0.0655,169.964,0.565,72,twice
127,Summer Nights,2018-07-09,5,4pAMZttZImUT6MquTWywtR,SWEET TALKER,spotify:track:4pAMZttZImUT6MquTWywtR,0.0695,0.674,0.97,2.19e-06,0.153,-2.281,0.0649,159.998,0.797,50,twice
128,Summer Nights,2018-07-09,6,23sjuUEVDn9Gk45dLkHdsn,HO!,spotify:track:23sjuUEVDn9Gk45dLkHdsn,0.104,0.766,0.895,1.43e-06,0.0233,-2.342,0.0982,160.009,0.974,46,twice
129,Summer Nights,2018-07-09,7,0zjC5IswRxa9KGjwbyW5Ej,DEJAVU,spotify:track:0zjC5IswRxa9KGjwbyW5Ej,0.0127,0.636,0.794,1.3e-06,0.0895,-4.072,0.0651,116.776,0.51,43,twice
130,Summer Nights,2018-07-09,8,6DKG3voypxpc7FqPN3CbpH,SAY YES,spotify:track:6DKG3voypxpc7FqPN3CbpH,0.238,0.634,0.673,0.0,0.226,-3.989,0.0785,80.009,0.367,47,twice
131,Summer Nights,2018-07-09,9,2IDJfisC6YCHGNrqrORCZs,STUCK,spotify:track:2IDJfisC6YCHGNrqrORCZs,0.0544,0.564,0.796,0.0,0.142,-2.71,0.0536,157.903,0.571,47,twice
134,Summer Nights,2018-07-09,3,2Al0AAESPr45idzegiDk7h,Shot thru the heart,spotify:track:2Al0AAESPr45idzegiDk7h,0.0747,0.671,0.852,0.0,0.524,-2.619,0.0439,142.981,0.245,31,twice
135,Summer Nights,2018-07-09,4,5Ek40FyMPprcvtyZDjqylX,What is Love?,spotify:track:5Ek40FyMPprcvtyZDjqylX,0.0846,0.573,0.91,0.0,0.266,-1.578,0.064,169.982,0.602,59,twice
156,Merry & Happy,2017-12-11,1,0O9OnWm3z2B2TjvE051AMV,Heart Shaker,spotify:track:0O9OnWm3z2B2TjvE051AMV,0.105,0.565,0.943,0.0,0.154,-0.532,0.0645,164.059,0.855,65,twice
157,Merry & Happy,2017-12-11,2,76qVJ5CbodXgDGleekie9O,Merry & Happy,spotify:track:76qVJ5CbodXgDGleekie9O,0.404,0.716,0.63,0.0,0.0817,-4.122,0.0376,154.078,0.667,51,twice
171,twicetagram,2017-11-01,1,4Eb5cLWxKQUoUQaKUYSRgI,LIKEY,spotify:track:4Eb5cLWxKQUoUQaKUYSRgI,0.431,0.723,0.898,0.0015,0.136,-1.081,0.0354,131.96,0.394,56,twice
172,twicetagram,2017-11-01,2,0gdsdHQiTipWR8LeRSXpJJ,TURTLE,spotify:track:0gdsdHQiTipWR8LeRSXpJJ,0.553,0.729,0.804,0.0,0.15,-3.428,0.135,95.139,0.609,46,twice
173,twicetagram,2017-11-01,3,5FwPuSXMh8cfmtWWTJHCM8,MISSING U,spotify:track:5FwPuSXMh8cfmtWWTJHCM8,0.212,0.805,0.702,0.0,0.112,-3.387,0.054,119.995,0.833,33,twice
174,twicetagram,2017-11-01,4,10ZvFowDUX7H9Glgn9a1d2,WOW,spotify:track:10ZvFowDUX7H9Glgn9a1d2,0.355,0.776,0.915,0.0,0.0537,-3.459,0.151,160.092,0.909,25,twice
