,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
33,The Velvet - The 2nd Mini Album,2016-03-17,8,7월 7일 One Of These Nights - Piano Version,0.8190000000000001,0.5820000000000001,0.318,0.0,0.135,-7.041,0.0366,133.73,0.139,41,red velvet
34,The Red - The 1st Album,2015-09-09,1,Dumb Dumb,0.0334,0.778,0.789,2.05e-06,0.225,-4.297,0.0503,145.99,0.799,63,red velvet
35,The Red - The 1st Album,2015-09-09,2,Huff n Puff,0.0281,0.7440000000000001,0.892,0.0,0.0563,-2.5,0.0806,103.988,0.812,44,red velvet
36,The Red - The 1st Album,2015-09-09,3,Campfire,0.0315,0.7140000000000001,0.721,0.0,0.10800000000000001,-4.024,0.10400000000000001,89.991,0.455,42,red velvet
37,The Red - The 1st Album,2015-09-09,4,Red Dress,0.00788,0.763,0.856,1.4300000000000002e-05,0.32899999999999996,-4.1610000000000005,0.0419,120.001,0.615,45,red velvet
38,The Red - The 1st Album,2015-09-09,5,Oh Boy,0.0176,0.701,0.7659999999999999,0.0,0.228,-4.542,0.0472,93.99,0.366,48,red velvet
39,The Red - The 1st Album,2015-09-09,6,Lady's Room,0.565,0.742,0.738,0.0,0.305,-4.835,0.0379,107.024,0.851,42,red velvet
40,The Red - The 1st Album,2015-09-09,7,Time Slip,0.0422,0.897,0.58,3.11e-06,0.0578,-4.996,0.0503,99.98200000000001,0.59,44,red velvet
41,The Red - The 1st Album,2015-09-09,8,Don't U Wait No More,0.222,0.595,0.838,0.0,0.0731,-2.273,0.235,98.946,0.7490000000000001,42,red velvet
42,The Red - The 1st Album,2015-09-09,9,Day 1,0.11199999999999999,0.645,0.884,0.0,0.179,-2.801,0.0968,171.93,0.708,45,red velvet
43,The Red - The 1st Album,2015-09-09,10,Cool World,0.0876,0.747,0.941,0.0,0.0438,-2.867,0.133,115.00200000000001,0.525,43,red velvet
44,‘The ReVe Festival’ Day 2,2019-08-20,1,Umpah Umpah,0.0258,0.693,0.935,0.0,0.43700000000000006,-3.306,0.0771,119.973,0.8440000000000001,57,red velvet
45,‘The ReVe Festival’ Day 2,2019-08-20,4,Jumpin’,0.0106,0.731,0.8390000000000001,0.0,0.316,-3.9810000000000003,0.193,148.996,0.8109999999999999,41,red velvet
46,‘The ReVe Festival’ Day 1,2019-06-19,1,Zimzalabim,0.0028,0.68,0.878,2.22e-05,0.336,-4.791,0.179,127.991,0.531,63,red velvet
47,SAPPY,2019-05-29,2,Swimming Pool,0.221,0.609,0.934,0.0,0.309,-0.9840000000000001,0.0876,159.95,0.9059999999999999,41,red velvet
48,SAPPY,2019-05-29,4,Peek-A-Boo - Japanese Version,0.226,0.589,0.9259999999999999,0.000526,0.281,-2.5,0.132,114.37799999999999,0.586,38,red velvet
49,SAPPY,2019-05-29,5,Rookie - Japanese Version,0.196,0.659,0.961,0.0,0.336,-2.5069999999999997,0.282,164.0,0.889,31,red velvet
50,SAPPY,2019-05-29,6,Power Up - Japanese Version,0.0495,0.735,0.9359999999999999,0.0023899999999999998,0.133,-4.51,0.135,160.054,0.92,30,red velvet
51,Power Up (Japanese Ver.),2019-05-29,1,Power Up - Japanese Ver.,0.0674,0.737,0.932,0.0033299999999999996,0.252,-4.537,0.13699999999999998,160.065,0.907,29,red velvet
